full_id,osm_id,osm_type,highway,name,xcoord,ycoord
n25294742,"25294742",node,bus_stop,TU/e ingang De Wielen,5.4922979,51.4458744
n25572982,"25572982",node,bus_stop,Refeling,5.5525664,51.4654434
n25573004,"25573004",node,bus_stop,"Nuenen, Park",5.549822,51.4753772
n25587259,"25587259",node,bus_stop,Vincent van Goghplein,5.5525934,51.4741167
n27508619,"27508619",node,bus_stop,Alfred Nobelstraat,5.4755226,51.5744881
n27508621,"27508621",node,bus_stop,Ollandseweg,5.4638707,51.5703449
n27510625,"27510625",node,bus_stop,Streekweg,5.7817034,51.8204326
n27510628,"27510628",node,bus_stop,Rijdtsestraat,5.7411737,51.7830081
n27510680,"27510680",node,bus_stop,Stoofweg,5.7341231,51.7537503
n28898737,"28898737",node,bus_stop,Rosarium,5.1416232,52.0914794
n29055383,"29055383",node,bus_stop,Erasmusstraat,5.3237815,51.6849577
n29073854,"29073854",node,bus_stop,Sint Josephstraat,5.1046722,51.5568439
n29797002,"29797002",node,bus_stop,Hobbemastraat,5.1431622,52.0848764
n30162399,"30162399",node,bus_stop,Rijksweg/Veldstraat,5.7266621,50.837015
n30179433,"30179433",node,bus_stop,Floris V-laan,5.0517676,51.6826127
n30201127,"30201127",node,bus_stop,Prof. Asserweg,5.0475723,51.6799152
n30983812,"30983812",node,bus_stop,Station Lunetten,5.1429369,52.065813
n31235697,"31235697",node,bus_stop,Bunnerveenseweg,6.5172224,53.1120202
n31235698,"31235698",node,bus_stop,Bunnerveenseweg,6.5171926,53.1122623
n31489905,"31489905",node,bus_stop,Apollopad,5.3469218,51.5849124
n31493215,"31493215",node,bus_stop,Artoislaan,5.4508617,51.4828462
n32575094,"32575094",node,bus_stop,Castiliëlaan,5.4516006,51.4905761
n36438951,"36438951",node,bus_stop,Hertenkamp,4.8962252,52.0887352
n36438953,"36438953",node,bus_stop,Hertenkamp,4.8968373,52.0886325
n41909230,"41909230",node,bus_stop,Schey,5.8219321,50.7735791
n41922715,"41922715",node,bus_stop,Bergstraat,5.8058252,50.7944398
n41972143,"41972143",node,bus_stop,Daalhemerweg,5.8184387,50.8483327
n41990369,"41990369",node,bus_stop,Pastoor Theelenstraat,6.022495,50.8602984
n42014083,"42014083",node,bus_stop,Heerlerweg,5.9422297,50.8750456
n42025929,"42025929",node,bus_stop,Overheek,5.8706129,50.8821887
n42026670,"42026670",node,bus_stop,Wiegershof,5.6946368,50.8827037
n42040088,"42040088",node,bus_stop,Hartelstein,5.7116324,50.8922876
n42047768,"42047768",node,bus_stop,Luiperbeekstraat,5.9161918,50.8997479
n42054785,"42054785",node,bus_stop,Hellebroekerweg,5.885199,50.9066329
n42077439,"42077439",node,bus_stop,Hommerterweg,5.9220633,50.9335724
n42236448,"42236448",node,bus_stop,Hoofdstraat,5.5988678,51.2361176
n42240037,"42240037",node,bus_stop,Prinses Irenestraat,5.5715509,51.2397662
n42247191,"42247191",node,bus_stop,Stationsweg,5.5653147,51.2457385
n42258638,"42258638",node,bus_stop,Grootschoterweg,5.5661731,51.2553054
n42270132,"42270132",node,bus_stop,Kroonwiel,5.710826,51.2637843
n42295935,"42295935",node,bus_stop,"Nederweert, Carpool",5.7364886,51.2811622
n42306304,"42306304",node,bus_stop,Doolhof,5.3264115,51.287773
n42308560,"42308560",node,bus_stop,Schatersdijk,5.3301458,51.2889869
n42316351,"42316351",node,bus_stop,Mozekesweg,5.3375148,51.2941054
n42342703,"42342703",node,bus_stop,Loo,5.3444035,51.3129963
n42412224,"42412224",node,bus_stop,Loo,6.0075313,51.3377045
n42427186,"42427186",node,bus_stop,Westerhovenseweg,5.4273858,51.3450276
n42433016,"42433016",node,bus_stop,Brouwerijplein,5.4289953,51.3480853
n42439458,"42439458",node,bus_stop,Minister Aalbersestraat,5.4447991,51.3507568
n42442852,"42442852",node,bus_stop,Kerk,5.3860802,51.3523481
n42445089,"42445089",node,bus_stop,Voortseweg,5.310039,51.3536742
n42449794,"42449794",node,bus_stop,Ambrosiusdal,5.4357643,51.3553615
n42452978,"42452978",node,bus_stop,Kortkruisdijk,5.3059486,51.3561534
n42460024,"42460024",node,bus_stop,Postweg,6.1960241,51.3595275
n42488036,"42488036",node,bus_stop,Maashofpark,6.1307346,51.3713886
n42489007,"42489007",node,bus_stop,Dorpstraat/Hazenpad,5.8650656,51.3720412
n42496020,"42496020",node,bus_stop,Heitrak,5.8591761,51.3751486
n42507010,"42507010",node,bus_stop,Turfhoeve,5.9840391,51.3808383
n42520297,"42520297",node,bus_stop,Speelheuvelplein,5.7059275,51.3881582
n42526631,"42526631",node,bus_stop,Ansbalduslaan,5.4600659,51.3918358
