full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n44022289,"44022289",node,stop,De Akkers,4.3199021,51.8332768
n44073084,"44073084",node,stop,Spijkenisse Centrum,4.3344807,51.8465371
n44118781,"44118781",node,stop,Rhoon,4.4194958,51.8591157
n44122613,"44122613",node,switch,,4.4244905,51.8599363
n44129775,"44129775",node,stop,Poortugaal,4.3957852,51.8617079
n44134405,"44134405",node,switch,,4.3758448,51.8627823
n44152704,"44152704",node,switch,,4.4378696,51.8678513
n44154790,"44154790",node,switch,,4.4628997,51.868735
n44166491,"44166491",node,switch,,4.4768857,51.8715329
n44167353,"44167353",node,switch,,4.4560187,51.8713231
n44182229,"44182229",node,stop,Slinge,4.47766,51.8745956
n44234275,"44234275",node,stop,Pernis,4.3818923,51.8849705
n44243741,"44243741",node,stop,Zuidplein,4.4883,51.8869
n44295310,"44295310",node,stop,Maashaven,4.4947288,51.8971985
n44314049,"44314049",node,switch,,4.4961932,51.9014682
n44316937,"44316937",node,switch,,4.4963454,51.9020327
n44322644,"44322644",node,stop,Rijnhaven,4.4967671,51.9035882
n44344049,"44344049",node,stop,Vijfsluizen,4.372119,51.9091428
n44376820,"44376820",node,stop,Troelstralaan,4.384684,51.9155218
n44404495,"44404495",node,stop,Parkweg,4.3940136,51.921202
n46206708,"46206708",node,switch,,4.961711,52.3316085
n186959304,"186959304",node,stop,Eendrachtsplein,4.4737535,51.9163189
n196326957,"196326957",node,stop,Dijkzigt,4.4661327,51.9122274
n205433667,"205433667",node,stop,Zalmplaat,4.3625942,51.8550273
n205435852,"205435852",node,stop,Heemraadlaan,4.3316513,51.8377531
n205475490,"205475490",node,stop,Tussenwater,4.3767863,51.8626126
n240489038,"240489038",node,stop,Wibautstraat,4.9120486,52.3545947
n250222259,"250222259",node,stop,Zuid,4.8739781,52.3390351
n250222332,"250222332",node,stop,Station Sloterdijk,4.8389786,52.3890375
n250222348,"250222348",node,stop,Isolatorweg,4.8505958,52.3951031
n250222349,"250222349",node,switch,,4.8515323,52.3951123
n250222350,"250222350",node,buffer_stop,,4.8548167,52.3951341
n250224115,"250224115",node,stop,De Vlugtlaan,4.8380564,52.3794609
n250224725,"250224725",node,stop,Postjesweg,4.8338612,52.3645995
n250225300,"250225300",node,stop,Heemstedestraat,4.834401,52.3523291
n250225792,"250225792",node,stop,Henk Sneevlietweg,4.834395,52.346385
n250229766,"250229766",node,stop,Centraal Station,4.9010471,52.3775081
n250233796,"250233796",node,stop,Strandvliet,4.9413977,52.3186119
n250233804,"250233804",node,stop,Bijlmer ArenA,4.9476178,52.311806
n250233821,"250233821",node,,Reigersbos,4.9743774,52.2955964
n250233831,"250233831",node,,Gein,4.9891612,52.2964067
n250233832,"250233832",node,buffer_stop,,4.9954604,52.2963087
n250234673,"250234673",node,,Bullewijk,4.9521292,52.306869
n250236254,"250236254",node,stop,Venserpolder,4.9464091,52.3267211
n250236271,"250236271",node,stop,Verrijn Stuartweg,4.9672062,52.3282901
n250236278,"250236278",node,stop,Ganzenhoef,4.9728869,52.3236783
n250236279,"250236279",node,,Kraaiennest,4.9790073,52.3169789
n250236282,"250236282",node,stop,Gaasperplas,4.9843391,52.3111615
n251035426,"251035426",node,switch,,4.9578699,52.330659
n264082857,"264082857",node,switch,,4.9636915,52.3311795
n264090713,"264090713",node,switch,,4.9641222,52.3306668
n264090901,"264090901",node,switch,,4.971263,52.3293199
n264090902,"264090902",node,switch,,4.9664487,52.330244
n264091278,"264091278",node,switch,,4.9664158,52.3300861
n264092005,"264092005",node,switch,,4.9695051,52.3295368
n264092104,"264092104",node,switch,,4.9698174,52.3294752
n264092927,"264092927",node,switch,,4.9656201,52.3303738
n264093394,"264093394",node,buffer_stop,,4.9642761,52.330789
n264093399,"264093399",node,buffer_stop,,4.9630044,52.3311556
n295725540,"295725540",node,switch,,4.8664532,52.3388205
n295725561,"295725561",node,buffer_stop,,4.8590351,52.3385143
n295725597,"295725597",node,switch,,4.8603503,52.3385685
n295747554,"295747554",node,railway_crossing,,4.8521625,52.3951778
n304800800,"304800800",node,stop,Heemstedestraat,4.8342252,52.3523254
n403496579,"403496579",node,switch,,4.440478,51.8690281
n403496590,"403496590",node,switch,,4.4450429,51.8698222
n403496595,"403496595",node,switch,,4.4514846,51.8708701
n403496597,"403496597",node,switch,,4.4522665,51.8710652
n403497713,"403497713",node,switch,,4.4530147,51.8712527
n403497716,"403497716",node,switch,,4.4516249,51.8708027
n403497722,"403497722",node,switch,,4.4502723,51.8701681
n403497737,"403497737",node,switch,,4.4451371,51.8693904
n403497740,"403497740",node,switch,,4.4443401,51.8694042
n403498348,"403498348",node,switch,,4.4468986,51.869654
n403501690,"403501690",node,switch,,4.4446491,51.8697883
n403501691,"403501691",node,switch,,4.4451755,51.8698089
n403503488,"403503488",node,switch,,4.4457162,51.8694094
n403503494,"403503494",node,switch,,4.4502042,51.8701616
n403503498,"403503498",node,switch,,4.4505811,51.8703218
n403504248,"403504248",node,buffer_stop,,4.4373123,51.870127
n403506613,"403506613",node,switch,,4.4403442,51.8701432
n403507725,"403507725",node,switch,,4.4409034,51.8701127
n403508327,"403508327",node,switch,,4.4456038,51.8702867
n1112443594,"1112443594",node,level_crossing,,4.9629333,52.3313754
n1359509256,"1359509256",node,buffer_stop,,4.854814,52.3952559
n1359509262,"1359509262",node,buffer_stop,,4.8548151,52.3951752
n1359509263,"1359509263",node,switch,,4.8523756,52.3951583
n1359509266,"1359509266",node,switch,,4.8523654,52.3952009
n1359509274,"1359509274",node,buffer_stop,,4.8548088,52.3952151
n1359516853,"1359516853",node,switch,,4.8608005,52.3386343
n1359516861,"1359516861",node,switch,,4.8608093,52.3385872
n1359516863,"1359516863",node,switch,,4.8664707,52.3388665
n1359516866,"1359516866",node,switch,,4.8672687,52.3389376
n1359528714,"1359528714",node,buffer_stop,,4.9954596,52.2964308
n1359528719,"1359528719",node,buffer_stop,,4.9954542,52.2963898
n1359528720,"1359528720",node,buffer_stop,,4.9954515,52.2963488
n1488972271,"1488972271",node,switch,,4.3213166,51.8334428
n1488972280,"1488972280",node,switch,,4.3314529,51.839521
n1488972383,"1488972383",node,switch,,4.3186406,51.8332847
