full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n41984084,"41984084",node,station,Schin op Geul,5.8714734,50.8559809
n42641724,"42641724",node,station,Vlissingen,3.595722,51.4440529
n42715031,"42715031",node,station,Helmond Brouwhuis,5.70137,51.4706226
n42966392,"42966392",node,station,Roosendaal,4.4584702,51.5403292
n43044523,"43044523",node,station,Tilburg Universiteit,5.0516776,51.5652341
n43124982,"43124982",node,station,Gilze-Rijen,4.9242259,51.5840224
n43160670,"43160670",node,station,Vierlingsbeek,5.9970961,51.5920221
n43174364,"43174364",node,station,Breda,4.7800231,51.5951433
n43346790,"43346790",node,station,Boxmeer,5.9395217,51.6444304
n43861273,"43861273",node,station,Ravenstein,5.6377036,51.7947915
n44061300,"44061300",node,station,Nijmegen,5.8530913,51.8431362
n44324523,"44324523",node,station,Vlaardingen West,4.3151182,51.9037705
n44386148,"44386148",node,station,Elst,5.8549331,51.9172427
n44396486,"44396486",node,station,Zetten-Andelst,5.7233591,51.9197801
n44408869,"44408869",node,station,Hemmen-Dodewaard,5.6736223,51.9224135
n44412148,"44412148",node,station,Zevenaar,6.0719818,51.9231973
n44428365,"44428365",node,station,Opheusden,5.6374111,51.9260391
n44520232,"44520232",node,station,Duiven,6.0144531,51.9434452
n44727803,"44727803",node,station,Arnhem Centraal,5.9011598,51.9844332
n44731315,"44731315",node,station,Arnhem Velperpoort,5.9199033,51.9851244
n44822867,"44822867",node,station,Wolfheze,5.7923944,52.0056717
n44920604,"44920604",node,station,Ede-Wageningen,5.6722729,52.0277348
n44922274,"44922274",node,station,Veenendaal West,5.5315679,52.0281017
n44949685,"44949685",node,stop,Houten,5.1678419,52.0342898
n45018824,"45018824",node,station,Driemanspolder,4.4772981,52.0484521
n45095869,"45095869",node,station,Utrecht Lunetten,5.1432619,52.0664082
n45099226,"45099226",node,station,Buytenwegh,4.4786685,52.0667621
n45112674,"45112674",node,station,Forepark,4.392994,52.0698797
n45198301,"45198301",node,station,Utrecht Centraal,5.109821,52.0893925
n45204707,"45204707",node,station,Brummen,6.147059,52.0907483
n45243362,"45243362",node,station,Utrecht Terwijde,5.0435521,52.1002155
n45402645,"45402645",node,station,Maarssen,5.0330252,52.135947
n45489203,"45489203",node,station,Amersfoort Centraal,5.3740976,52.153898
n45756882,"45756882",node,station,Glanerbrug,6.9742518,52.218722
n45836125,"45836125",node,station,Enschede Kennispark,6.8387936,52.237419
n45920072,"45920072",node,station,Nieuw Vennep,4.6453582,52.2588593
n45931397,"45931397",node,station,Hengelo,6.7949086,52.2617754
n45960709,"45960709",node,station,Hengelo Oost,6.8197673,52.2690072
n46108981,"46108981",node,station,Oldenzaal,6.9340349,52.3062438
n46122858,"46122858",node,station,Schiphol Airport,4.7621813,52.309523
n46199966,"46199966",node,station,Diemen Zuid,4.9560598,52.3302613
n46410951,"46410951",node,station,Almere Parkwijk,5.2447045,52.376736
n46475255,"46475255",node,station,Wijhe,6.1410453,52.3909959
n46487439,"46487439",node,station,Almere Buiten,5.2779576,52.3941912
n46792197,"46792197",node,station,Lelystad Centrum,5.4727185,52.5079328
n47077880,"47077880",node,station,Hoorn,5.0546461,52.6450893
n47098594,"47098594",node,station,Hoorn Kersenboogerd,5.0849124,52.6533353
n47129352,"47129352",node,station,Coevorden,6.7360253,52.6630362
n47217829,"47217829",node,station,Bovenkarspel-Grootebroek,5.2363181,52.6950724
n47229891,"47229891",node,station,Enkhuizen,5.287993,52.69956
n47670218,"47670218",node,station,Den Helder,4.7606663,52.9568469
n47729028,"47729028",node,station,Stadskanaal,6.9356835,52.996217
n48162487,"48162487",node,station,Leeuwarden,5.7929849,53.1964772
n48387592,"48387592",node,station,Appingedam,6.862006,53.3257678
n207095055,"207095055",node,subway_entrance,Dijkzigt,4.4656585,51.9126798
n207095105,"207095105",node,subway_entrance,Dijkzigt,4.4666385,51.9122221
n230040193,"230040193",node,station,Tiel Passewaaij,5.3918894,51.8736724
n232079045,"232079045",node,station,Vleuten,5.0076189,52.1029729
n247389009,"247389009",node,station,Willem Dreeslaan,4.5345966,52.0652767
n250222266,"250222266",node,station,Amstelveenseweg,4.8575769,52.3384028
n250224485,"250224485",node,station,Jan van Galenstraat,4.8352937,52.3726582
n250233810,"250233810",node,station,Amsterdam Holendrecht,4.9601712,52.2979886
n289445435,"289445435",node,station,Van der Madeweg,4.9305189,52.3294483
n291982984,"291982984",node,station,Leidschenveen,4.400391,52.0647304
n320494336,"320494336",node,station,Arnhem Zuid,5.8519491,51.9544945
n378388522,"378388522",node,subway_entrance,Eendrachtsplein,4.47367,51.9166523
n427565080,"427565080",node,station,Overamstel,4.9176266,52.3317318
n521261183,"521261183",node,station,Medemblik,5.1057898,52.7740477
n560140743,"560140743",node,station,Tiel,5.4232131,51.8896753
n563874508,"563874508",node,station,Almere Oostvaarders,5.3006021,52.4032804
n564177425,"564177425",node,station,Wijchen,5.7297547,51.8112191
n635300176,"635300176",node,station,Dronten,5.7215719,52.5343316
n693085424,"693085424",node,station,Geldrop,5.5502017,51.420289
n825221409,"825221409",node,stop,Houten,5.1680432,52.034338
n918622302,"918622302",node,station,Bareveld,6.850223,53.0535756
n918633134,"918633134",node,station,Veendam,6.8849785,53.1039225
n1027174221,"1027174221",node,station,Rosmalen,5.369582,51.7151523
n1112410297,"1112410297",node,station,Groningen,6.5641028,53.2109237
n1233812055,"1233812055",node,station,Utrecht Vaartsche Rijn,5.1218783,52.0787573
n1268704948,"1268704948",node,station,Houten Castellum,5.1794728,52.0168609
n1506143976,"1506143976",node,station,Heerlen,5.9751061,50.8908484
n1506495806,"1506495806",node,station,Susteren,5.8629282,51.0609667
n1543214128,"1543214128",node,station,Westervoort,5.9692518,51.9629903
n1563570846,"1563570846",node,station,Sassenheim,4.5169358,52.2152104
n1583408417,"1583408417",node,station,Enschede De Eschmarke,6.9514664,52.2212722
n1633149045,"1633149045",node,station,Halfweg-Zwanenburg,4.7468736,52.3859763
n1673444987,"1673444987",node,station,Utrecht Maliebaan,5.1311656,52.0879425
n1780517696,"1780517696",node,station,,7.0274062,52.7560972
n1962328712,"1962328712",node,station,Alphen aan den Rijn,4.6571053,52.1248061
n2018322407,"2018322407",node,station,Meerssen,5.7506465,50.8827737
n2028453341,"2028453341",node,station,Schinnen,5.8745796,50.9390309
n2132785146,"2132785146",node,station,Almere Poort,5.1522517,52.3429466
n2195493967,"2195493967",node,station,Wijlre,5.8980547,50.8330395
n2195498166,"2195498166",node,station,Simpelveld,5.9784646,50.8315487
n2195509430,"2195509430",node,station,Bocholtz,6.0055661,50.8170574
n2195515087,"2195515087",node,station,Kerkrade ZLSM,6.0566467,50.8590632
n2235176450,"2235176450",node,station,Beekbergen,5.9866783,52.1599795
n2235176452,"2235176452",node,station,Immenbergweg,6.003991,52.1482881
n2235179252,"2235179252",node,station,Loenen,6.0293573,52.1293679
n2235186029,"2235186029",node,station,Apeldoorn,5.9697859,52.2089862
n2237721918,"2237721918",node,station,De Vlugtlaan,4.8382223,52.3796134
n2288890193,"2288890193",node,station,Hoogvliet,4.3667811,51.8606168
n2312167098,"2312167098",node,,,5.1677643,52.0345813
n2336169715,"2336169715",node,station,Tilburg Reeshof,4.9934935,51.573665
n2369355633,"2369355633",node,station,'s-Gravenpolder-'s-Heer Abtskerke,3.892375,51.4620883
n2370354641,"2370354641",node,station,Kwadendamme,3.8891869,51.4409246
n2370920923,"2370920923",node,station,Hoedekenskerke,3.9137769,51.4206086
n2578899071,"2578899071",node,station,Wildervank,6.8707393,53.0838251
n2636314220,"2636314220",node,station,Barneveld Centrum,5.5897695,52.1404556
n2640081853,"2640081853",node,station,Grenzland Draisine,5.9346023,51.7778349
n2641332941,"2641332941",node,station,Dieren,6.1033427,52.0454027
n2746493059,"2746493059",node,station,Anna Paulowna,4.811522,52.867721
n2757269573,"2757269573",node,station,Lichtenvoorde-Groenlo,6.5950987,52.0122561
n2774893307,"2774893307",node,station,Hoorn,5.0546131,52.6455717
n2786292541,"2786292541",node,station,Gorinchem,4.9674612,51.8335723
n2803572197,"2803572197",node,station,Hoogkarspel,5.1825103,52.690467
n2812863011,"2812863011",node,station,Haren,6.6180871,53.174863
n2813139140,"2813139140",node,station,Wognum-Nibbixwoud,5.0332337,52.6825447
n2815620698,"2815620698",node,station,Valkenburg,5.8328817,50.8692901
n2854696578,"2854696578",node,station,Harderwijk,5.6199961,52.3377999
n2891601965,"2891601965",node,station,Ermelo,5.6144134,52.3011045
n2901800432,"2901800432",node,station,Helmond 't Hout,5.6312015,51.4681099
n2902677221,"2902677221",node,station,Eerbeek,6.0662863,52.1027606
n2902916310,"2902916310",node,station,Helmond,5.6616714,51.4755665
n2930102252,"2930102252",node,station,Oss West,5.5069444,51.7584414
n2983733524,"2983733524",node,station,Houten,5.1681345,52.0340078
n2989906405,"2989906405",node,station,Zoutindustrie,6.7853221,52.1917806
n2989925910,"2989925910",node,station,Haaksbergen,6.7381799,52.1584703
n2989934275,"2989934275",node,station,Boekelo,6.8008997,52.2048225
n3093842602,"3093842602",node,station,Etten-Leur,4.6364804,51.5752127
n3105151948,"3105151948",node,station,Utrecht Zuilen,5.0893544,52.1032324
n3149917960,"3149917960",node,station,Berkel Westpolder,4.4543595,51.9900765
n3149917961,"3149917961",node,station,Beurs,4.4808632,51.9179985
n3149917962,"3149917962",node,station,Blijdorp,4.4581761,51.9306162
n3149917963,"3149917963",node,station,De Akkers,4.3198989,51.8333189
n3149917964,"3149917964",node,station,Heemraadlaan,4.3316246,51.8377526
n3149917966,"3149917966",node,station,Leidschendam-Voorburg,4.3820605,52.0775803
n3149917967,"3149917967",node,station,Leuvehaven,4.4819906,51.9140336
n3149917968,"3149917968",node,station,Maashaven,4.4947569,51.8971935
n3149917970,"3149917970",node,station,Meijersplein / Airport,4.462218,51.95592
n3149917971,"3149917971",node,station,Melanchthonweg,4.4646343,51.948473
n3149917972,"3149917972",node,station,Nootdorp,4.4147041,52.0475517
n3149917973,"3149917973",node,station,Pijnacker Centrum,4.4369745,52.0205662
n3149917974,"3149917974",node,station,Pijnacker Zuid,4.445805,52.0050029
n3149917975,"3149917975",node,station,Poortugaal,4.3957931,51.8617237
