full_id,osm_id,osm_type,railway,name,xcoord,ycoord
n29579775,"29579775",node,tram_stop,Van Blommesteynweg,4.4656938,51.8874246
n30545941,"30545941",node,tram_stop,Malieveld,4.3172163,52.0838118
n31205407,"31205407",node,tram_stop,Broekpolder,4.3454691,52.0497604
n44382281,"44382281",node,tram_stop,Burgemeester Oudlaan,4.5230465,51.9166196
n44561355,"44561355",node,tram_stop,Bergse Plaslaan,4.4894591,51.9515395
n46326414,"46326414",node,tram_stop,Surinameplein,4.8521827,52.3580481
n46350382,"46350382",node,tram_stop,Alexanderplein,4.9193627,52.3635043
n46369643,"46369643",node,tram_stop,Meester Visserplein,4.9053602,52.3679611
n46432024,"46432024",node,tram_stop,Nassaukade,4.8792047,52.3813125
n46462976,"46462976",node,tram_stop,Zoutkeetsgracht,4.8851416,52.388084
n148726445,"148726445",node,tram_stop,Van Limburg Stirumplein,4.8749198,52.3844185
n237962650,"237962650",node,tram_stop,Dapperstraat,4.9289422,52.3609314
n237962735,"237962735",node,tram_stop,Roelof Hartplein,4.8820871,52.3531224
n237962753,"237962753",node,tram_stop,Concertgebouw,4.8796377,52.3566951
n240311313,"240311313",node,tram_stop,Marnixplein,4.8791849,52.3785896
n240316865,"240316865",node,tram_stop,Marnixplein,4.8785423,52.3783985
n240316872,"240316872",node,tram_stop,Frederik Hendrikplantsoen,4.875268,52.3784783
n240316873,"240316873",node,tram_stop,Hugo de Grootplein,4.8729548,52.3750097
n240316874,"240316874",node,tram_stop,Hugo de Grootplein,4.872531,52.3742987
n241392441,"241392441",node,tram_stop,Zeeburgerdijk,4.9324425,52.3659327
n241392462,"241392462",node,tram_stop,Pontanusstraat,4.9272032,52.3659058
n241772055,"241772055",node,tram_stop,Waterlooplein,4.9019846,52.3669934
n241775832,"241775832",node,tram_stop,Rijksmuseum,4.887104,52.3609734
n250149857,"250149857",node,tram_stop,Kanaleneiland-Zuid,5.1069313,52.062851
n250176659,"250176659",node,tram_stop,Parkweg,4.3954584,51.9242849
n250212613,"250212613",node,tram_stop,Prinses Beatrixlaan,4.3758987,51.9295333
n250212622,"250212622",node,tram_stop,Bachplein,4.3711149,51.9375671
n250212728,"250212728",node,tram_stop,Harreweg,4.3747114,51.9443628
n255100912,"255100912",node,tram_stop,Boeier,4.3686514,51.9422608
n255281298,"255281298",node,tram_stop,P.C. Hooftplein,4.4355357,51.9157181
n255281338,"255281338",node,tram_stop,Koemarkt,4.4024598,51.9157204
n257906075,"257906075",node,tram_stop,Winkelcentrum Kanaleneiland,5.0962183,52.0750679
n257907532,"257907532",node,tram_stop,P+R Westraven,5.1066509,52.056258
n257908876,"257908876",node,tram_stop,Vasco da Gamalaan,5.1022489,52.0685715
n259867151,"259867151",node,tram_stop,24 Oktoberplein-Zuid,5.0930629,52.0784635
n260046967,"260046967",node,tram_stop,Dorpskade,4.2896431,52.0172229
n260047222,"260047222",node,tram_stop,Parijsplein,4.2950783,52.019624
n260047224,"260047224",node,tram_stop,Parijsplein,4.2962395,52.0200133
n260047249,"260047249",node,tram_stop,Eikelenburg,4.3061364,52.0226064
n260047803,"260047803",node,tram_stop,Lage Veld,4.2945506,52.0219351
n260048433,"260048433",node,tram_stop,Weidedreef,4.3189658,52.028133
n260048455,"260048455",node,tram_stop,Bogaard stadscentrum,4.3170549,52.0346475
n260108353,"260108353",node,tram_stop,Volmerlaan,4.3311316,52.0372369
n260108379,"260108379",node,tram_stop,Handelskade,4.336569,52.0442344
n260108381,"260108381",node,tram_stop,Handelskade,4.3356003,52.0449194
n260108392,"260108392",node,tram_stop,Generaal Spoorlaan,4.330794,52.0483978
n260562759,"260562759",node,tram_stop,Aletta Jacobsstraat,4.3124204,52.0246956
n260781989,"260781989",node,tram_stop,Patentlaan,4.339034,52.0415578
n261974815,"261974815",node,tram_stop,Admiraal Helfrichsingel,4.3176623,52.0324691
n261976210,"261976210",node,tram_stop,Station Rijswijk,4.3220746,52.0373831
n262069815,"262069815",node,tram_stop,Graadt van Roggenweg,5.1005413,52.0876186
n266653886,"266653886",node,tram_stop,Gruttosingel,4.3833116,52.0488726
n266865397,"266865397",node,tram_stop,Lorentzplein,4.3269682,52.060875
n266865431,"266865431",node,tram_stop,Oudemansstraat,4.325081,52.0632187
n266865459,"266865459",node,tram_stop,Leeghwaterplein,4.3218984,52.0659239
n267551346,"267551346",node,tram_stop,Jonckbloetplein,4.322846,52.0589325
n267551347,"267551347",node,tram_stop,Van Vredenburchweg,4.3273741,52.052685
n267551374,"267551374",node,tram_stop,Rijswijkseplein,4.325095,52.0732448
n267551397,"267551397",node,tram_stop,Centraal Station,4.3233114,52.0805099
n270465580,"270465580",node,tram_stop,Oude Middenweg,4.401143,52.0718189
n275930365,"275930365",node,tram_stop,Rietlandpark,4.9348327,52.3730107
n283601358,"283601358",node,tram_stop,Hoofddorpplein,4.8501741,52.3515256
n283603496,"283603496",node,tram_stop,Hoofddorpplein,4.8495922,52.3511681
n285869162,"285869162",node,tram_stop,Vijzelgracht,4.8909623,52.3599031
n286316889,"286316889",node,tram_stop,Flevopark,4.9520639,52.3652037
n286610403,"286610403",node,tram_stop,Oranjebaan,4.8716334,52.3027943
